label,status,reward_step_mean,reward_step_std,reward_last_episode_mean,reward_last_episode_std,reward_min_step,output1_mae_mean,output2_mae_mean,output1_mae_last_episode,output2_mae_last_episode,u1_lower_sat_frac,u1_upper_sat_frac,u2_lower_sat_frac,u2_upper_sat_frac,gain_fro_norm,bundle_path,plot_dir,poles,poles_arr,pole_mean,pole_max,pole_min,pole_std,u_sat_total
p17_slow_physical_c,ok,-982.511517659762,3968.006687236956,-1310.700535324245,4580.632932820015,-25321.241116190395,0.0623557889339132,0.2053669194295266,0.0749948846456555,0.2230391617625576,0.0,0.22625,0.0,0.105,1.0972844189063935,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p17_slow_physical_c.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p17_slow_physical_c_nominal_none\20260428_045536,"[0.55, 0.6, 0.65, 0.7, 0.75, 0.9, 0.95]",[0.55 0.6  0.65 0.7  0.75 0.9  0.95],0.7285714285714286,0.95,0.55,0.13850513878332368,0.33125
p23_polymer_style_mid,ok,-949.541742419844,3901.5148790973954,-1382.533150684518,4783.571803000808,-26671.279605914548,0.0611517419804879,0.2211880860096052,0.0739864994707371,0.232140551352065,0.0,0.21375,0.0,0.11,0.3610649669532311,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p23_polymer_style_mid.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p23_polymer_style_mid_nominal_none\20260428_060802,"[0.35, 0.39, 0.43, 0.47, 0.51, 0.9, 0.96]",[0.35 0.39 0.43 0.47 0.51 0.9  0.96],0.5728571428571428,0.96,0.35,0.23143738960272267,0.32375
p11_current_balanced,ok,-1079.7665377713822,3779.2174597618327,-1440.6253755273924,4640.700751362128,-28612.180185019693,0.0742701658326381,0.210696990620625,0.0867628433634874,0.2234862434538063,0.0,0.20875,0.0,0.11625,0.3627276190603157,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p11_current_balanced.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p11_current_balanced_nominal_none\20260428_033801,"[0.32, 0.38, 0.44, 0.5, 0.56, 0.8, 0.9]",[0.32 0.38 0.44 0.5  0.56 0.8  0.9 ],0.5571428571428572,0.9,0.32,0.2004077476200021,0.325
p01_mid_current_test,ok,-1099.9825492253572,3838.352451959483,-1469.1401400187494,4705.519968403465,-28887.6526422724,0.0748960823901875,0.2115964833558431,0.0874648577029373,0.2258863823699671,0.0025,0.21125,0.0,0.115,0.3763222027990965,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p01_mid_current_test.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p01_mid_current_test_nominal_none\20260428_012727,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.8, 0.9]",[0.35 0.4  0.45 0.5  0.55 0.8  0.9 ],0.5642857142857143,0.9,0.35,0.19219462924391015,0.32875
p13_current_more_offset_slow,ok,-1516.4443671424576,4771.090836208238,-1565.647978165975,4837.207526749668,-29547.2515025708,0.0890867000953372,0.2365820761084707,0.0903183994630818,0.2408711862752008,0.0,0.41875,0.0,0.115,0.3690298537770803,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p13_current_more_offset_slow.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p13_current_more_offset_slow_nominal_none\20260428_040447,"[0.35, 0.4, 0.45, 0.5, 0.55, 0.86, 0.94]",[0.35 0.4  0.45 0.5  0.55 0.86 0.94],0.5785714285714285,0.94,0.35,0.2129673731838197,0.5337500000000001
p18_slow_physical_d,ok,-1404.9976311500511,5236.823282381093,-1829.138447903773,5970.700854884391,-29185.66432352919,0.0748280571258292,0.2312991899295531,0.0875215699201961,0.247884420358814,0.0,0.17875,0.0,0.205,1.2886601217719782,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p18_slow_physical_d.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p18_slow_physical_d_nominal_none\20260428_050845,"[0.6, 0.64, 0.68, 0.72, 0.76, 0.9, 0.96]",[0.6  0.64 0.68 0.72 0.76 0.9  0.96],0.7514285714285714,0.96,0.6,0.12368491898236206,0.38375
p09_moderate_fast_d,ok,-1438.8744697697268,4483.921362615448,-1847.583384222806,5069.534443457572,-28507.27612597078,0.090116606387134,0.2184176449431757,0.1077611603317896,0.2360827026529403,0.0,0.26875,0.0,0.11875,0.3198629335905208,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p09_moderate_fast_d.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p09_moderate_fast_d_nominal_none\20260428_031338,"[0.28, 0.33, 0.38, 0.43, 0.48, 0.82, 0.93]",[0.28 0.33 0.38 0.43 0.48 0.82 0.93],0.5214285714285715,0.93,0.28,0.23332555866542054,0.38749999999999996
p05_fast_with_one_very_slow_offset,ok,-1563.0703679027156,4348.43580558194,-2007.2579285119707,4871.345602715673,-26458.054520887978,0.0978321367328562,0.1825882517861574,0.1179968902176114,0.1784798363406819,0.00875,0.25375,0.0,0.24625,0.6916486915897734,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p05_fast_with_one_very_slow_offset.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p05_fast_with_one_very_slow_offset_nominal_none\20260428_022201,"[0.12, 0.16, 0.22, 0.28, 0.35, 0.7, 0.96]",[0.12 0.16 0.22 0.28 0.35 0.7  0.96],0.3985714285714286,0.96,0.12,0.2900457388279388,0.5087499999999999
p12_current_slightly_slower,ok,-1580.5335694301575,4800.314406593101,-2060.828131893673,5499.483859996432,-29525.261092794222,0.0950202650744325,0.2243956202451195,0.1145610394776334,0.2368463595135594,0.0,0.285,0.0,0.1375,0.4166891597789866,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p12_current_slightly_slower.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p12_current_slightly_slower_nominal_none\20260428_035134,"[0.38, 0.43, 0.48, 0.53, 0.58, 0.82, 0.92]",[0.38 0.43 0.48 0.53 0.58 0.82 0.92],0.5914285714285714,0.92,0.38,0.18795353311987753,0.4225
p27_two_slow_offsets_wide_gap,ok,-2409.219158800601,6576.950161145193,-2408.2415144980337,6579.158389957545,-29891.98135902805,0.1165978847068291,0.2209152143692072,0.1164263649305859,0.2229243792504587,0.0125,0.42875,0.0,0.1525,0.306885429149812,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Data\observer_pole_sweep_temp\20260428_010057\p27_two_slow_offsets_wide_gap.pickle,C:\Users\HAMEDI\Desktop\RL_assisted_MPC_polymer\Distillation\Results\observer_pole_sweep_temp\20260428_010057\p27_two_slow_offsets_wide_gap_nominal_none\20260428_070044,"[0.25, 0.32, 0.39, 0.46, 0.53, 0.82, 0.97]",[0.25 0.32 0.39 0.46 0.53 0.82 0.97],0.5342857142857144,0.97,0.25,0.24627842216582796,0.59375
