Reflux Flow,Reboiler Duty,Tray 24 Ethane Comp.,Tray 85 Temp.
320000.0,110.0,0.10039739547261686,-22.955143388092388
320000.0,110.0,0.10039739547260752,-22.955143388095543
320000.0,110.0,0.10039739547247299,-22.955143388099106
320000.0,110.0,0.10039739547223328,-22.955143388103135
320000.0,110.0,0.10039739547192204,-22.95514338810689
320000.0,110.0,0.10039739547154974,-22.9551433881105
320000.0,110.0,0.10039739547113706,-22.955143388114294
320000.0,110.0,0.10039739547070349,-22.95514338811754
320000.0,110.0,0.1003973954702726,-22.95514338812039
320000.0,110.0,0.10039739546985477,-22.95514338812276
320000.0,110.0,0.10039739546946741,-22.955143388124657
320000.0,110.0,0.10039739546910377,-22.9551433881265
320000.0,110.0,0.10039739546878594,-22.955143388127613
320000.0,110.0,0.10039739546849573,-22.95514338812913
320000.0,110.0,0.10039739546825062,-22.955143388129525
320000.0,110.0,0.10039739546804259,-22.95514338813007
320000.0,110.0,0.1003973954678642,-22.95514338813073
320000.0,110.0,0.10039739546772378,-22.95514338813063
320000.0,110.0,0.10039739546762176,-22.955143388130775
320000.0,110.0,0.10039739546756102,-22.95514338813005
320000.0,110.0,0.1003973954675459,-22.955143388129166
320000.0,110.0,0.10039739546755307,-22.955143388128647
320000.0,110.0,0.10039739546756807,-22.955143388128317
320000.0,110.0,0.10039739546760033,-22.955143388127862
320000.0,110.0,0.10039739546763515,-22.955143388127468
320000.0,110.0,0.10039739546768515,-22.95514338812681
320000.0,110.0,0.10039739546773914,-22.955143388126405
320000.0,110.0,0.10039739546781329,-22.955143388125375
320000.0,110.0,0.10039739546788186,-22.955143388125183
320000.0,110.0,0.10039739546795577,-22.955143388124444
320000.0,110.0,0.10039739546801486,-22.95514338812454
320000.0,110.0,0.10039739546806863,-22.95514338812421
320000.0,110.0,0.100397395468122,-22.9551433881238
320000.0,110.0,0.10039739546816848,-22.9551433881235
320000.0,110.0,0.10039739546820206,-22.955143388123616
320000.0,110.0,0.10039739546823692,-22.955143388123542
320000.0,110.0,0.10039739546826532,-22.955143388123407
320000.0,110.0,0.1003973954682825,-22.955143388123464
320000.0,110.0,0.10039739546830166,-22.955143388123332
320000.0,110.0,0.10039739546830688,-22.95514338812373
320000.0,125.0,0.19010993454855676,-17.86434569663652
320000.0,125.0,0.28566770081520726,-10.415099988838739
